Quarter	Users	0	1	2
Q3/2011	21.5
Q4/2011	21.6
Q1/2012	24.43
Q2/2012	25.71
Q3/2012	27.49
Q4/2012	30.36
Q1/2013	34.24
Q2/2013	35.63
Q3/2013	38.01
Q4/2013	41.43
Q1/2014	46.14
Q2/2014	47.99
Q3/2014	50.65
Q4/2014	54.48
Q1/2015	59.62
Q2/2015	62.71
Q3/2015	66.02
Q4/2015	70.84
Q1/2016	77.71
Q2/2016	79.9
Q3/2016	83.28
Q4/2016	89.09
Q1/2017	94.36
Q2/2017	99.04
Q3/2017	104.02
Q4/2017	110.64
Q1/2018	118.9
Q2/2018	124.35
Q3/2018	130.42
Q4/2018	139.26
Q1/2019	148.86
Q2/2019	151.56
Q3/2019	158.33
Q4/2019	167.09
Q1/2020	182.86
Q2/2020	192.95
Q3/2020	195.15
Q4/2020	203.66
Q4/2018	64.76	37.82	26.08	10.61
Q1/2019	66.63	42.54	27.55	12.14
Q2/2019	66.5	44.23	27.89	12.94
Q3/2019	67.11	47.36	29.38	14.49
Q4/2019	67.66	51.78	31.42	16.23
Q1/2020	69.97	58.73	34.32	19.84
Q2/2020	72.9	61.48	36.07	22.49
Q3/2020	73.08	62.24	36.32	23.5
Q4/2020	73.94	66.7	37.54	25.49
US	63.1
Brazil	16.4
UK	14.8
France	7.6
Mexico	7.4
Germany	7.3
Canada	6.8
Australia	6
Argentina	4.9
Japan	3.7
Spain	3.4
South Korea	3.3
Netherlands	3.2
New Zealand	3
Sweden	2.4
India	2.4
Italy	2.3
Turkey	1.7
Norway	1.1
Poland	0.9
Chile	0.8
UAE	0.4
Costa Rica	0.3
Q1/2011	719
Q2/2011	789
Q3/2011	822
Q4/2011	876
Q1/2012	870
Q2/2012	889
Q3/2012	905
Q4/2012	945
Q1/2013	1024
Q2/2013	1069
Q3/2013	1106
Q4/2013	1175
Q1/2014	1279
Q2/2014	1340
Q3/2014	1409
Q4/2014	1485
Q1/2015	1573
Q2/2015	1645
Q3/2015	1738
Q4/2015	1823
Q1/2016	1958
Q2/2016	2105
Q3/2016	2290
Q4/2016	2478
Q1/2017	2637
Q2/2017	2785
Q3/2017	2985
Q4/2017	3286
Q1/2018	3701
Q2/2018	3907
Q3/2018	3999
Q4/2018	4187
Q1/2019	4521
Q2/2019	4923
Q3/2019	5245
Q4/2019	5467
Q1/2020	5768
Q2/2020	6148
Q3/2020	6436
Q4/2020	6644
Q4/2018	2161	1097	567	277
Q1/2019	2257	1233	630	320
Q2/2019	2501	1319	677	349
Q3/2019	2621	1428	741	382
Q4/2019	2672	1563	746	418
Q1/2020	2703	1723	793	484
Q2/2020	2840	1893	785	569
Q3/2020	2933	2019	789	635
Q4/2020	2980	2137	789	685
