País	Casos	Mortes	Curados
Estados Unidos	33458134	601407	0
Índia	26752447	303720	23728011
Brasil	16720081	467706	15168330
França	5685915	109787	0
Turquia	5263697	47768	5131463
Rússia	5099182	122660	4711982
Reino Unido	4494699	127794	0
Itália	4223200	126283	3886867
Argentina	3852093	79320	3409253
Espanha	3687762	80049	0
Alemanha	3703807	89316	3498050
Colômbia	3459422	89808	3218620
Irã	2935443	80488	2494108
Polônia	2874092	74075	2642127
México	2423928	228146	1932457
Ucrânia	2209417	50959	2072021
Peru	1965432	69342	1918756
Chéquia	1662608	30136	1622876
África do Sul	1675013	56711	1565684
Países Baixos	1651780	17632	0
Indonésia	1 511 712	40 858	1 348 330
Canadá	1383214	25566	1326484
Chile	1394973	29385	1321600
Filipinas	1247899	21357	1170752
Iraque	1210105	16436	1125110
Romênia	1078338	30499	1041256
Suécia	1068473	14451	0
Bélgica	1065358	24982	0
Paquistão	926695	21022	852574
Portugal	850262	17026	810271
Israel	839508	6413	832693
Hungria	804382	29728	696029
Bangladesh	804293	12694	744065
Jordânia	737888	9489	718123
Japão	752191	13245	690623
Sérvia	712989	6881	0
Suíça	696213	10268	317600
Áustria	645834	10627	630731
Emirados Árabes Unidos	576947	1689	556549
Nepal	571111	7555	461563
Malásia	595374	3096	508947
Líbano	540630	7735	520473
Marrocos	520028	9160	507838
Arábia Saudita	452956	7393	435520
Equador	428865	20681	375151
Bulgária	419010	17747	384777
Grécia	404163	12122	0
Bielorrússia	395990	2871	387338
Eslováquia	390129	12375	0
Cazaquistão	387672	3974	357826
Panamá	379506	6381	366508
Bolívia	378028	14732	299462
Croácia	357109	8056	347108
Paraguai	361440	9396	297292
Geórgia	346983	4853	330721
Tunísia	348911	12793	306354
Azerbaijão	334288	4926	325418
Costa Rica	323598	4098	245708
Palestina	309036	3507	301213
Kuwait	311846	1779	296242
República Dominicana	295680	3637	242634
Uruguai	301524	4394	259959
Dinamarca	283089	2516	267808
Lituânia	275545	4289	257675
Etiópia	272036	4178	242442
Irlanda	262319	4941	0
Egito	264557	15178	193491
Moldávia	255285	6120	247716
Eslovênia	254419	4380	0
Guatemala	257167	8214	235641
Honduras	239428	6403	85784
Venezuela	235567	2661	216746
Bahrain	244726	1031	216832
Armênia	222978	4448	213813
Qatar	217882	562	214020
Omã	219529	2370	201113
Bósnia e Herzegovina	204172	9303	175704
Líbia	186323	3131	172420
Sri Lanka	192547	1566	160714
Quênia	171226	3206	117039
Nigéria	166560	2099	159946
Macedônia do Norte	155304	5423	148798
Tailândia	169348	1146	118204
Myanmar	143823	3218	132388
Coreia do Sul	142157	1968	132699
Cuba	144514	977	137614
Albânia	132351	2451	129521
Letônia	134162	2392	127493
Estônia	129909	1260	124033
Argélia	129640	3490	90281
Noruega	125929	785	88952
Porto Rico	122117	2512	0
Kosovo	107410	2243	102966
Quirguistão	105580	1830	99474
Montenegro	99683	1587	97351
Uzbequistão	100997	693	96889
Zâmbia	97388	1288	92320
Gana	94011	785	92057
Finlândia	92913	959	31000
China (continental)	91170	4636	86170
Camarões	78929	1275	57008
El Salvador	73702	2252	68803
Chipre	72515	360	0
Moçambique	70923	836	69555
Luxemburgo	70027	818	68316
Afeganistão	75144	3034	57963
Singapura	62100	33	61481
Maldivas	64396	161	35595
Mongólia	61396	288	51983
Namíbia	56264	865	51048
Botswana	54973	849	51259
Jamaica	48594	949	25485
Costa do Marfim	47319	306	46758
Uganda	48676	364	46150
Senegal	41494	1142	40146
Madagáscar	41366	841	39101
Zimbábue	39031	1599	36661
Donetsk	39230	2965	31693
Sudão	35656	2662	29364
Malawi	34360	1156	32629
Angola	34752	792	28190
Rep. Dem. do Congo	31934	786	27666
Malta	30557	419	30062
Austrália	30130	910	0
Cabo Verde	30694	266	28944
Camboja	31460	230	24042
Ruanda	27064	358	25948
Síria	24495	1770	21604
Gabão	24429	152	22118
Guiné	23194	162	21193
Trinidad e Tobago	24314	507	14249
Mauritânia	19598	463	18582
Polinésia Francesa	18879	142	18658
Essuatíni	18618	673	17882
Guiana	17114	391	14879
Papua-Nova Guiné	15910	162	15067
Abecásia	15360	234	14737
Somália	14660	769	6764
Mali	14281	517	9740
Haiti	14931	321	12552
Suriname	15428	316	12005
Tajiquistão	13714	91	13218
Andorra	13744	127	13507
Burkina Faso	13435	167	13256
Togo	13496	125	13032
Belize	12819	325	12417
Curaçao	12274	122	12132
Hong Kong	11849	210	11561
República do Congo	11845	154	8208
Bahamas	11893	230	10903
Djibouti	11542	154	11381
Seicheles	11621	42	10499
Aruba	11006	107	10845
Lesoto	10836	326	6437
Sudão do Sul	10688	115	10514
Guiné Equatorial	8572	118	8189
Guam	8193	139	7991
Benim	8025	101	7893
Nicarágua	7324	186	0
Chipre do Norte	7345	33	6998
República Centro-Africana	7091	98	5112
Taiwan	9974	166	1133
Iémen	6759	1323	3472
Islândia	6597	30	6522
Vietnã	7972	49	3085
Gâmbia	5995	179	5786
Timor-Leste	6897	16	4233
Níger	5416	192	5096
San Marino	5090	90	4998
Santa Lúcia	5072	79	4826
Chade	4935	173	4747
Lugansk	4805	441	4198
Burundi	4828	6	773
Gibraltar	4298	94	4194
Serra Leoa	4140	79	3128
Eritreia	4145	14	3855
Barbados	4023	47	3922
Somalilândia	4608	311	3899
Comores	3882	146	3719
Guiné-Bissau	3766	68	3516
Ilhas Virgens Americanas	3465	27	3313
Ossétia do Sul	3343	60	3198
Jersey	3243	69	3179
Liechtenstein	3017	58	2934
Artsaque	2751	31	337
Mônaco	2508	33	2467
Bermudas	2494	33	2442
Ilhas Turcas e Caicos	2418	17	2386
São Martinho (Países Baixos)	2433	28	2334
São Tomé e Príncipe	2347	41	2290
Nova Zelândia	2325	26	2282
Libéria	2219	86	2044
Laos	1943	3	1654
Ilha de Man	1594	29	1562
Bonaire	1589	17	1549
Butão	1639	1	1308
Maurícia	1421	18	1198
Antígua e Barbuda	1262	42	1213
Guernsey	823	14	808
Diamond Princess	712	14	698
Tanzânia	0	0	0
Ilhas Faroe	731	1	687
Ilhas Cayman	584	2	571
Fiji	536	4	183
Ilhas Virgens Britânicas	292	1	285
Brunei	244	3	231
Dominica	188	0	187
Ilhas Marianas Setentrionais	183	2	32
Granada	160	1	158
Costa Atlantica	148	0	148
Greg Mortimer	128	1	0
Nova Caledônia	128	0	30
Anguilla	109	0	109
São Vicente e Granadinas	98	0	81
Ilhas Malvinas	63	0	63
São Cristóvão e Neves	74	0	48
Macau	51	0	49
Gronelândia	40	0	34
Vaticano	29	0	27
Saint Pierre e Miquelon	25	0	25
Santo Eustáquio	20	0	20
Montserrat	20	1	18
MS Zaandam	13	4	0
Coral Princess	12	3	0
Saba	7	0	7
